Domain,Area,Element,Item,Year,Source,Unit,Value
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2002","FAO TIER 1","kt","16163.887"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2002","FAO TIER 1","kt","16163.887"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2003","FAO TIER 1","kt","17746.2285"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2003","FAO TIER 1","kt","17746.2285"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2004","FAO TIER 1","kt","17508.921"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2004","FAO TIER 1","kt","17508.921"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2005","FAO TIER 1","kt","18031.342"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2005","FAO TIER 1","kt","18031.342"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2006","FAO TIER 1","kt","18257.2015"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2006","FAO TIER 1","kt","18257.2015"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2007","FAO TIER 1","kt","19371.7915"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2007","FAO TIER 1","kt","19371.7915"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2008","FAO TIER 1","kt","19699.04"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2008","FAO TIER 1","kt","19699.04"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2009","FAO TIER 1","kt","18640.683"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2009","FAO TIER 1","kt","18640.683"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2010","FAO TIER 1","kt","19885.706"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2010","FAO TIER 1","kt","19885.706"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2011","FAO TIER 1","kt","20929.647"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2011","FAO TIER 1","kt","20929.647"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2012","FAO TIER 1","kt","21171.1945"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2012","FAO TIER 1","kt","21171.1945"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2013","FAO TIER 1","kt","21342.57"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2013","FAO TIER 1","kt","21342.57"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2014","FAO TIER 1","kt","21394.2715"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2014","FAO TIER 1","kt","21394.2715"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2015","FAO TIER 1","kt","20721.0125"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2015","FAO TIER 1","kt","20721.0125"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2016","FAO TIER 1","kt","21543.3605"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2016","FAO TIER 1","kt","21543.3605"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2017","FAO TIER 1","kt","22395.733"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2017","FAO TIER 1","kt","22395.733"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2018","FAO TIER 1","kt","22645.0185"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2018","FAO TIER 1","kt","22645.0185"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2019","FAO TIER 1","kt","22760.161"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2019","FAO TIER 1","kt","22760.161"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2020","FAO TIER 1","kt","23823.4735"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2020","FAO TIER 1","kt","23823.4735"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2021","FAO TIER 1","kt","24641.025"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2021","FAO TIER 1","kt","24641.025"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2022","FAO TIER 1","kt","24571.6745"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2022","FAO TIER 1","kt","24571.6745"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2030","FAO TIER 1","kt","21329.32"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2030","FAO TIER 1","kt","21329.32"
"Emissions totals","India","Emissions (CO2eq) from N2O (AR5)","Crop Residues","2050","FAO TIER 1","kt","22532.6055"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Crop Residues","2050","FAO TIER 1","kt","22532.6055"
"Emissions totals","India","Emissions (CO2eq) from CH4 (AR5)","Rice Cultivation","2002","FAO TIER 1","kt","121703.3748"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Rice Cultivation","2002","FAO TIER 1","kt","121703.3748"
"Emissions totals","India","Emissions (CO2eq) from CH4 (AR5)","Rice Cultivation","2003","FAO TIER 1","kt","125889.8004"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Rice Cultivation","2003","FAO TIER 1","kt","125889.8004"
"Emissions totals","India","Emissions (CO2eq) from CH4 (AR5)","Rice Cultivation","2004","FAO TIER 1","kt","123862.7964"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Rice Cultivation","2004","FAO TIER 1","kt","123862.7964"
"Emissions totals","India","Emissions (CO2eq) from CH4 (AR5)","Rice Cultivation","2005","FAO TIER 1","kt","129044.398"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Rice Cultivation","2005","FAO TIER 1","kt","129044.398"
"Emissions totals","India","Emissions (CO2eq) from CH4 (AR5)","Rice Cultivation","2006","FAO TIER 1","kt","129488.3408"
"Emissions totals","India","Emissions (CO2eq) (AR5)","Rice Cultivation","2006","FAO TIER 1","kt","129488.3408"
